title;n_enrolled;institution;level;subject;language;course_length;price;currency;course_url;;;;;
introduction to cloud computing;;ibm;introductory;computer science;en;6 weeks;49.0;usd;https://www.edx.org/course/introduction-to-cloud-computing-6;;;;;
fundamentos de logï¿½ï¿½s;7397.0;logyca;introductory;engineering;es;5 weeks;29.0;usd;https://www.edx.org/course/fundamentos-de-la-logistica;;;;;
sustainable urban development;45760.0;delft university of technology-wageningen university & research-delft university & wageningen university;introductory;social sciences;en;7 weeks;50.0;usd;https://www.edx.org/course/sustainable-urban-development;;;;;
introduction to biomedical imaging;56485.0;the university of queensland;introductory;medicine;en;12 weeks;99.0;usd;https://www.edx.org/course/introduction-to-biomedical-imaging;;;;;
introducciï¿½ï¿½n a la programaciï¿½ï¿½n en java: empezando a p;23321.0;universidad carlos iii de madrid;introductory;computer science;es;5 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-la-programacion-en-java-empezando-a;;;;;
circuits and electronics 2: amplification; speed; and delay;9665.0;massachusetts institute of technology;intermediate;electronics;en;5 weeks;169.0;usd;https://www.edx.org/course/circuits-and-electronics-2-amplification-speed-a-2;;;
chinaï¿½ï¿½ï¿½s political and intellectual foundations: from sage kings to con;47083.0;harvard university;introductory;history;en;15 weeks;139.0;usd;https://www.edx.org/course/chinas-political-and-intellectual-foundations-fr-2;;;;;
introduction to devops and site reliability engineering;8697.0;the linux foundation;introductory;computer science;en;10 weeks;149.0;usd;https://www.edx.org/course/introduction-to-devops-and-site-reliability-engineering;;;;;
sql aplicado en la  ciencia de datos;;ibm;introductory;data analysis & statistics;es;4 weeks;39.0;usd;https://www.edx.org/course/sql-aplicado-en-la-ciencia-de-datos;;;;;
sign language science: factors contributing to nature structure;;georgetown university;introductory;language;en;4 weeks;99.0;usd;https://www.edx.org/course/sign-language-factors-contributing-to-natural-stru;;;;;
gender and intersectionality;;the university of iceland;introductory;humanities;en;6 weeks;50.0;usd;https://www.edx.org/course/gender-and-intersectionality;;;;;
digital transformation in business;10118.0;the university of maryland, college park-university system of maryland;advanced;business & management;en;7 weeks;214.0;usd;https://www.edx.org/course/strategic-and-transformational-it-2;;;;;
designing and creating trousers;7544.0;the hong kong polytechnic university;introductory;design;en;5 weeks;99.0;usd;https://www.edx.org/course/designing-and-creating-trousers;;;;;
introducciï¿½ï¿½n a la teorï¿½ï¿½a polï¿½ï¿½tica: conceptos y grande;11741.0;universitï¿½ï¿½ degli studi di napoli federic;introductory;social sciences;es;7 weeks;59.0;usd;https://www.edx.org/course/introduccion-a-la-teoria-politica-conceptos-y-gran;;;;;
human rights; human wrongs: challenging poverty; vulnerability and social exclusion;11426.0;sdg academy;intermediate;social sciences;en;11 weeks;49.0;usd;https://www.edx.org/course/human-rights-human-wrongs-challenging-poverty-vuln;;;
industry 4.0: how to revolutionize your business;28404.0;the hong kong polytechnic university;introductory;business & management;en;6 weeks;50.0;usd;https://www.edx.org/course/industry-40-how-to-revolutionize-your-business;;;;;
desafï¿½ï¿½os y oportunidades en la economï¿½ï¿½a;47792.0;inter-american development bank;introductory;economics & finance;es;10 weeks;25.0;usd;https://www.edx.org/course/desafios-y-oportunidades-en-la-economia-digital-2;;;;;
pensamiento crï¿½ï¿½tico: toma de decisiones razon;16853.0;tecnolï¿½ï¿½gico de monte;introductory;business & management;es;4 weeks;149.0;usd;https://www.edx.org/course/pensamiento-critico-toma-de-decisiones-razonadas;;;;;
mathtrackx: polynomials; functions and graphs;;university of adelaide;introductory;math;en;4 weeks;79.0;usd;https://www.edx.org/course/mathtrackx-polynomials-functions-and-graphs;;;;
sustainable food security: crop production;35367.0;wageningen university & research;intermediate;biology & life sciences;en;6 weeks;49.0;usd;https://www.edx.org/course/sustainable-food-security-crop-production;;;;;
network and security foundations;7301.0;western governors university;introductory;computer science;en;8 weeks;299.7;usd;https://www.edx.org/course/network-security-foundations;;;;;
cannabis cultivation and processing;7419.0;doane university;introductory;environmental studies;en;3 weeks;179.0;usd;https://www.edx.org/course/cannabis-cultivation-and-processing;;;;;
data; models and decisions in business analytics;36289.0;columbia university;advanced;business & management;en;12 weeks;249.0;usd;https://www.edx.org/course/data-models-and-decisions-in-business-analytics;;;;
data structures fundamentals;42381.0;the university of california, san diego;intermediate;computer science;en;6 weeks;99.0;usd;https://www.edx.org/course/data-structures-fundamentals;;;;;
shaping work of the future;22246.0;massachusetts institute of technology;introductory;business & management;en;8 weeks;49.0;usd;https://www.edx.org/course/shaping-work-of-the-future;;;;;
introducciï¿½ï¿½n a la robï¿½ï¿½tica e indus;7056.0;universidades anï¿½ï¿½;introductory;computer science;es;3 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-la-robotica-y-sistemas-para-la-indu;;;;;
fighting for equality: 1950ï¿½ï¿½ï;9274.0;columbia university;intermediate;history;en;10 weeks;50.0;usd;https://www.edx.org/course/fighting-for-equality-19502018;;;;;
design thinking: ideation; iteration and communication;14629.0;rochester institute of technology;intermediate;business & management;en;6 weeks;299.0;usd;https://www.edx.org/course/design-thinking-ideation-iteration-and-communicati;;;;
negotiation strategies and styles;;tecnolï¿½ï¿½gico de monte;intermediate;business & management;en;4 weeks;149.0;usd;https://www.edx.org/course/negotiation-strategies-and-styles;;;;;
crear mï¿½ï¿½sica con tecnolo;10961.0;berklee college of music;introductory;music;es;6 weeks;49.0;usd;https://www.edx.org/course/crear-musica-con-tecnologia;;;;;
anï¿½ï¿½lisis de datos: diseï¿½ï¿½o y visualizaciï¿½ï¿½n;18368.0;delft university of technology;intermediate;computer science;es;8 weeks;49.0;usd;https://www.edx.org/course/analisis-de-datos-diseno-y-visualizacion-de-tabler;;;;;
comunicaciï¿½ï¿½n estratï¿½ï¿½gica: gestiï¿½ï¿½n de crisis e ima;7017.0;pontificia universidad javeriana;introductory;communication;es;4 weeks;49.0;usd;https://www.edx.org/course/comunicacion-estrategica-gestion-de-crisis-e-image;;;;;
understanding agribusiness; value chains; and consumers in global food systems;14052.0;university of adelaide;intermediate;business & management;en;4 weeks;199.0;usd;https://www.edx.org/course/understanding-agribusiness-value-chains-and-consum;;;
unlocking information security: part ii;6426.0;israelx-tel aviv university;intermediate;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/unlocking-information-security-part-2;;;;;
human rights defenders;27338.0;amnesty international;introductory;social sciences;en;4 weeks;49.0;usd;https://www.edx.org/course/human-rights-defenders-2;;;;;
product design: the delft design approach;87539.0;delft university of technology;intermediate;business & management;en;7 weeks;79.0;usd;https://www.edx.org/course/product-design-the-delft-design-approach;;;;;
introduction to psychology | ï¿½ï¿½ï¿½ï¿½ï¿½;30731.0;tsinghua university;introductory;philosophy & ethics;zh-tw;13 weeks;139.0;usd;https://www.edx.org/course/introduction-to-psychology-2;;;;;
circuits and electronics 3: applications;9347.0;massachusetts institute of technology;intermediate;electronics;en;7 weeks;169.0;usd;https://www.edx.org/course/circuits-and-electronics-3-applications-2;;;;;
vaccines: from smallpox to technologies of the future;6166.0;ku leuven university;intermediate;medicine;en;6 weeks;49.0;usd;https://www.edx.org/course/vaccines-from-smallpox-to-technologies-of-future;;;;;
le management;6273.0;hec montrï¿½ï;introductory;business & management;fr;5 weeks;149.0;usd;https://www.edx.org/course/le-management;;;;;
circular economy for a sustainable built environment;8032.0;delft university of technology;intermediate;architecture;en;6 weeks;50.0;usd;https://www.edx.org/course/circular-economy-for-a-sustainable-built-environ-2;;;;;
agile innovation and problem solving skills;12667.0;the university of maryland, college park-university system of maryland;advanced;engineering;en;4 weeks;199.0;usd;https://www.edx.org/course/agile-solutions-for-greater-innovation;;;;;
international investment law;23335.0;universitï¿½ï¿½ catholique de lou;advanced;law;en;10 weeks;150.0;usd;https://www.edx.org/course/international-investment-law;;;;;
animation and cgi motion;36827.0;columbia university;advanced;computer science;en;12 weeks;249.0;usd;https://www.edx.org/course/animation-and-cgi-motion-2;;;;;
terrorism and counterterrorism;28580.0;georgetown university;introductory;humanities;en;7 weeks;49.0;usd;https://www.edx.org/course/terrorism-and-counterterrorism;;;;;
dï¿½ï¿½couvrir le marke;30030.0;universitï¿½ï¿½ catholique de lou;intermediate;business & management;fr;10 weeks;150.0;usd;https://www.edx.org/course/decouvrir-le-marketing;;;;;
solar energy: photovoltaic (pv) energy conversion;38041.0;delft university of technology;advanced;engineering;en;12 weeks;250.0;usd;https://www.edx.org/course/solar-energy-photovoltaic-pv-energy-conversion;;;;;
introduction to actuarial science;52667.0;australian national university;introductory;data analysis & statistics;en;8 weeks;49.0;usd;https://www.edx.org/course/introduction-to-actuarial-science;;;;;
predictionx: lost without longitude;9114.0;harvard university;introductory;history;en;1 weeks;49.0;usd;https://www.edx.org/course/predictionx-lost-without-longitude;;;;;
information technology foundations;6388.0;western governors university;introductory;computer science;en;6 weeks;399.6;usd;https://www.edx.org/course/information-technology-foundations;;;;;
introducciï¿½ï¿½n a la inteligencia artificial de wa;;ibm;introductory;computer science;es;8 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-la-inteligencia-artificial-de-watson;;;;;
dealing with power and dynamics: discover your leadership style and influence stakeholders;16013.0;delft university of technology;intermediate;business & management;en;5 weeks;125.0;usd;https://www.edx.org/course/influencing-stakeholders-discover-your-leadershi-2;;;;;
instructional design and technology: learning theories;21296.0;university system of maryland-university of maryland global campus;intermediate;education & teacher training;en;8 weeks;299.0;usd;https://www.edx.org/course/instructional-design-and-technology-learning-the-2;;;;;
algorithms: design and analysis; part 2;;stanford university;intermediate;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/algorithms-design-and-analysis-part-2-2;;;;
the math of data science: linear algebra;6746.0;rice university;intermediate;math;en;8 weeks;159.0;usd;https://www.edx.org/course/math-of-data-science-linear-algebra;;;;;
introducciï¿½ï¿½n al quirï¿;;universidades anï¿½ï¿½;intermediate;medicine;es;6 weeks;49.0;usd;https://www.edx.org/course/introduccion-al-quirofano;;;;;
the hardware of a quantum computer;20052.0;delft university of technology;intermediate;physics;en;6 weeks;79.0;usd;https://www.edx.org/course/hardware-of-quantum-computer;;;;;
grabar y mezclar mï¿½ï¿½;10856.0;berklee college of music;introductory;music;es;4 weeks;49.0;usd;https://www.edx.org/course/grabar-y-mezclar-musica;;;;;
leadership focused on human flourishing;;tecnolï¿½ï¿½gico de monte;intermediate;business & management;en;4 weeks;149.0;usd;https://www.edx.org/course/leadership-focused-on-human-flourishing;;;;;
automata theory;;stanford university;advanced;computer science;en;7 weeks;129.0;usd;https://www.edx.org/course/automata-theory;;;;;
ýýconceptos býýsicos de python para data science!;;ibm;introductory;data analysis & statistics;es;5 weeks;49.0;usd;https://www.edx.org/course/conceptos-basicos-de-python-para-data-science;;;;;
herramientas para el anï¿½ï¿½lisis de big ;8118.0;tecnolï¿½ï¿½gico de monte;intermediate;data analysis & statistics;es;4 weeks;49.0;usd;https://www.edx.org/course/herramientas-para-el-analisis-de-big-data;;;;;
foundations of central bank law;6169.0;the international monetary fund;intermediate;law;en;6 weeks;25.0;usd;https://www.edx.org/course/foundation-of-central-bank-law;;;;;
c programming: modular programming and memory management;18690.0;dartmouth_imtx-dartmouth college-imt;introductory;computer science;en;7 weeks;49.0;usd;https://www.edx.org/course/c-programming-modular-programming-and-memory-manag;;;;;
enseï¿½ï¿½anza temprana de matemï¿½ï¿½ticas y ;8250.0;inter-american development bank;introductory;education & teacher training;es;10 weeks;25.0;usd;https://www.edx.org/course/ensenanza-temprana-de-matematicas-y-ciencias;;;;;
entrepreneurship 102: what can you do for your customer?;11275.0;massachusetts institute of technology;introductory;business & management;en;10 weeks;49.0;usd;https://www.edx.org/course/entrepreneurship-102-what-can-you-do-for-your-cust;;;;;
italian language and culture: advanced (2019-2020);24667.0;wellesley college;advanced;language;it;12 weeks;49.0;usd;https://www.edx.org/course/italian-language-and-culture-advanced-2019-2020;;;;;
introduction to marketing;;the university of edinburgh;introductory;business & management;en;6 weeks;149.0;usd;https://www.edx.org/course/introduction-to-marketing-5;;;;;
origins of the human mind;11812.0;kyoto university;introductory;science;en;5 weeks;49.0;usd;https://www.edx.org/course/origins-of-the-human-mind;;;;;
introduction to geometry;61824.0;schoolyourself;introductory;math;en;14 weeks;50.0;usd;https://www.edx.org/course/introduction-to-geometry;;;;;
the future of work: preparing for disruption;43125.0;world bank group;introductory;economics & finance;en;5 weeks;5.0;usd;https://www.edx.org/course/the-future-of-work-preparing-for-disruption-2;;;;;
clinical reasoning process;5367.0;universitï¿½ï¿½ de montr;introductory;medicine;en;6 weeks;149.0;usd;https://www.edx.org/course/clinical-reasoning-process;;;;;
datos para la efectividad de las polï¿½ï¿½ticas pï¿½ï;80425.0;inter-american development bank;introductory;data analysis & statistics;es;10 weeks;25.0;usd;https://www.edx.org/course/datos-para-la-efectividad-de-las-politicas-publi-2;;;;;
media law;7253.0;new york university;introductory;art & culture;en;14 weeks;249.0;usd;https://www.edx.org/course/media-law;;;;;
lï¿½ï¿½deres para la gestiï¿½ï¿½n en seguridad ciudadana y ;12826.0;inter-american development bank;intermediate;social sciences;es;10 weeks;25.0;usd;https://www.edx.org/course/lideres-para-la-gestion-en-seguridad-ciudadana-y-j;;;;;
diseï¿½; fabrica y programa tu propio robot;25024.0;universitat politï¿½ï¿½cnica de vale;introductory;engineering;es;6 weeks;75.0;usd;https://www.edx.org/course/disena-fabrica-y-programa-tu-propio-robot;;;;
pivoting to online teaching: research and practitioner perspectives;5289.0;university of texas at arlington;introductory;education & teacher training;en;6 weeks;139.0;usd;https://www.edx.org/course/pivoting-to-online-teaching-research-and-practitioner-perspectives;;;;;
circular economy: an interdisciplinary approach;10281.0;wageningen university & research;advanced;business & management;en;6 weeks;149.0;usd;https://www.edx.org/course/circular-economy-an-interdisciplinary-approach;;;;;
calculus 1b: integration;44669.0;massachusetts institute of technology;intermediate;math;en;15 weeks;100.0;usd;https://www.edx.org/course/calculus-1b-integration;;;;;
algorithmic design and techniques;40620.0;the university of california, san diego;intermediate;computer science;en;6 weeks;99.0;usd;https://www.edx.org/course/algorithmic-design-and-techniques;;;;;
drinking water treatment;51918.0;delft university of technology;intermediate;engineering;en;7 weeks;50.0;usd;https://www.edx.org/course/drinking-water-treatment-2;;;;;
fundamentos de informaciï¿½ï¿½n financiera y cont;7789.0;universidades anï¿½ï¿½;intermediate;economics & finance;es;5 weeks;49.0;usd;https://www.edx.org/course/fundamentos-de-informacion-financiera-y-contable-2;;;;;
les principes de la finance;44037.0;universitï¿½ï¿½ catholique de lou;intermediate;business & management;fr;13 weeks;150.0;usd;https://www.edx.org/course/les-principes-de-la-finance;;;;;
music technology foundations;34550.0;university of adelaide;introductory;computer science;en;6 weeks;169.0;usd;https://www.edx.org/course/music-technology-foundations;;;;;
the entrepreneurial mindset;31077.0;babson college;introductory;business & management;en;6 weeks;149.0;usd;https://www.edx.org/course/the-entrepreneurial-mindset;;;;;
anatomy: gastrointestinal; reproductive and endocrine systems;26453.0;the university of michigan;introductory;biology & life sciences;en;5 weeks;49.0;usd;https://www.edx.org/course/anatomy-gastrointestinal-reproductive-and-endocrin;;;;
risk management and credit principles;9028.0;nyif;advanced;economics & finance;en;6 weeks;199.0;usd;https://www.edx.org/course/risk-management-and-credit-principles;;;;;
steps in japanese for beginners1 part3;6169.0;waseda university;introductory;language;en;5 weeks;99.0;usd;https://www.edx.org/course/steps-in-japanese-for-beginners1-part3-2;;;;;
structural materials: selection and economics;9752.0;massachusetts institute of technology;introductory;engineering;en;3 weeks;50.0;usd;https://www.edx.org/course/structural-materials-selection-and-economics;;;;;
algorithm design and analysis;39137.0;university of pennsylvania;intermediate;computer science;en;4 weeks;149.0;usd;https://www.edx.org/course/algorithm-design-and-analysis;;;;;
estructuras de datos con python;;the university of michigan;introductory;computer science;es;7 weeks;49.0;usd;https://www.edx.org/course/estructuras-de-datos-con-python;;;;;
mandarin chinese for business;12384.0;mandarinx;intermediate;language;en;6 weeks;149.0;usd;https://www.edx.org/course/mandarin-chinese-for-business;;;;;
bases matemï¿½ï¿½ticas: nï¿½ï¿½meros y termi;26060.0;universitat politï¿½ï¿½cnica de vale;intermediate;math;es;4 weeks;50.0;usd;https://www.edx.org/course/bases-matematicas-numeros-y-terminologia;;;;;
arab-islamic history: from tribes to empires;17321.0;israelx-tel aviv university;introductory;humanities;en;8 weeks;149.0;usd;https://www.edx.org/course/arab-islamic-history-from-tribes-to-empires;;;;;
human-computer interaction i: fundamentals & design principles;9010.0;the georgia institute of technology;introductory;computer science;en;6 weeks;99.0;usd;https://www.edx.org/course/human-computer-interaction-i-fundamentals-design-p;;;;;
modeling and simulation of multibody systems;;universitï¿½ï¿½ catholique de lou;intermediate;engineering;en;14 weeks;50.0;usd;https://www.edx.org/course/modeling-and-simulation-of-multibody-systems;;;;;
the science of parenting;37538.0;the university of california, san diego;introductory;social sciences;en;5 weeks;49.0;usd;https://www.edx.org/course/the-science-of-parenting;;;;;
inclusive teaching: supporting all students in the college classroom;9899.0;columbia university;introductory;education & teacher training;en;6 weeks;49.0;usd;https://www.edx.org/course/inclusive-teaching-supporting-all-students-in-the;;;;;
analytics for decision making;31031.0;babson college;introductory;business & management;en;4 weeks;249.0;usd;https://www.edx.org/course/analytics-for-decision-making;;;;;
principios de anï¿½ï¿½lisis e instrumentos financi;;universidades anï¿½ï¿½;intermediate;economics & finance;es;5 weeks;49.0;usd;https://www.edx.org/course/principios-de-analisis-e-instrumentos-financieros;;;;;
energy principles and renewable energy;19520.0;the university of queensland;advanced;energy & earth sciences;en;14 weeks;375.0;usd;https://www.edx.org/course/energy-principles-and-renewable-energy;;;;;
dna: biologyï¿½ï¿½ï¿½s geneti;35162.0;rice university;intermediate;biology & life sciences;en;6 weeks;169.0;usd;https://www.edx.org/course/dna-biologys-genetic-code;;;;;
music for wellness;19728.0;berklee college of music;introductory;humanities;en;4 weeks;49.0;usd;https://www.edx.org/course/music-for-wellness;;;;;
mining massive datasets;5311.0;stanford university;advanced;computer science;en;7 weeks;149.0;usd;https://www.edx.org/course/mining-massive-datasets;;;;;
introduction to electrical and electronic engineering - ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿;25041.0;tokyo institute of technology;introductory;engineering;en;4 weeks;50.0;usd;https://www.edx.org/course/introduction-to-electrical-and-electronic-engineer;;;;;
a travel by spanish america: spanish for beginners;;universidad del rosario;introductory;language;es;4 weeks;49.0;usd;https://www.edx.org/course/un-viaje-por-hispanoamerica-espanol-inicial;;;;;
introducciï¿½ï¿½n a la inteligencia artifi;11184.0;universidades anï¿½ï¿½;introductory;computer science;es;4 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-la-inteligencia-artificial;;;;;
introducciï¿½ï¿½n a la inteligencia artificial: principales algori;;universidad galileo;introductory;computer science;es;4 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-la-inteligencia-artificial-principales-algoritmos;;;;;
digital security and human rights;11443.0;amnesty international;introductory;social sciences;en;3 weeks;49.0;usd;https://www.edx.org/course/digital-security-and-human-rights;;;;;
critical thinking: reasoned decision making;6923.0;tecnolï¿½ï¿½gico de monte;introductory;business & management;en;4 weeks;149.0;usd;https://www.edx.org/course/critical-thinking-reasoned-decision-making;;;;;
introduction to the internet of things;7581.0;universitat politï¿½ï¿½cnica de vale;introductory;electronics;en;6 weeks;50.0;usd;https://www.edx.org/course/introduction-to-the-internet-of-things;;;;;
trading - fundamentals of technical analysis;;nyif;introductory;economics & finance;en;6 weeks;199.0;usd;https://www.edx.org/course/trading-fundamentals-of-technical-analysis;;;;;
riï¿½ï¿½ones: conoce sus funciones para mejorar tu salud y calidad de ;20261.0;universidad autï¿½ï¿½noma de ma;introductory;medicine;es;6 weeks;49.0;usd;https://www.edx.org/course/rinones-conoce-sus-funciones-para-mejorar-tu-salud;;;;;
design thinking: empathizing to understand the problem;13340.0;rochester institute of technology;intermediate;business & management;en;6 weeks;299.0;usd;https://www.edx.org/course/design-thinking-empathizing-to-understand-the-prob;;;;;
storytelling in the workplace;;rochester institute of technology;introductory;communication;en;3 weeks;199.0;usd;https://www.edx.org/course/storytelling-in-the-workplace-3;;;;;
marketing analytics: price and promotion analytics;41021.0;university of california, berkeley;intermediate;computer science;en;4 weeks;249.0;usd;https://www.edx.org/course/marketing-analytics-price-and-promotion-analytics;;;;;
implementation of data structures;27761.0;iitbombay;intermediate;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/implementation-of-data-structures;;;;;
activism and citizen journalism through media;7460.0;wits university;introductory;communication;en;4 weeks;49.0;usd;https://www.edx.org/course/activism-and-citizen-journalism-through-media;;;;;
electric and conventional vehicles;22089.0;chalmers university of technology;advanced;engineering;en;6 weeks;249.0;usd;https://www.edx.org/course/electric-and-conventional-vehicles;;;;;
big data fundamentals;40106.0;university of adelaide;intermediate;computer science;en;10 weeks;199.0;usd;https://www.edx.org/course/big-data-fundamentals;;;;;
sustainable food security: the value of systems thinking;26600.0;wageningen university & research;introductory;biology & life sciences;en;6 weeks;49.0;usd;https://www.edx.org/course/sustainable-food-security-the-value-of-systems-thi;;;;;
knowledge management and big data in business;69064.0;the hong kong polytechnic university;introductory;business & management;en;8 weeks;50.0;usd;https://www.edx.org/course/knowledge-management-and-big-data-in-business;;;;;
uso efectivo del tiempo;6409.0;pontificia universidad javeriana;introductory;economics & finance;es;6 weeks;49.0;usd;https://www.edx.org/course/uso-efectivo-del-tiempo;;;;;
c programming: pointers and memory management;19171.0;dartmouth_imtx-dartmouth college-imt;introductory;computer science;en;7 weeks;49.0;usd;https://www.edx.org/course/c-programming-pointers-and-memory-management;;;;;
astrophysics: the violent universe;65711.0;australian national university;intermediate;physics;en;10 weeks;50.0;usd;https://www.edx.org/course/astrophysics-the-violent-universe;;;;;
landscape ecology;8644.0;eth zurich;intermediate;environmental studies;en;14 weeks;50.0;usd;https://www.edx.org/course/landscape-ecology;;;;;
iot programming and big data;21591.0;curtin university;introductory;computer science;en;5 weeks;199.0;usd;https://www.edx.org/course/iot-programming-and-big-data;;;;;
aws: getting started with cloud security;8192.0;amazon web services;introductory;computer science;en;4 weeks;49.0;usd;https://www.edx.org/course/aws-getting-started-with-cloud-security;;;;;
introducciï¿½ï¿½n a la gravedad cuï¿½ï¿½ntica ;7360.0;universidad nacional de cï¿½ï¿½r;introductory;science;es;5 weeks;50.0;usd;https://www.edx.org/course/introduccion-a-la-gravedad-cuantica-de-lazos;;;;;
introduction to the music business;46607.0;berklee college of music;introductory;business & management;en;6 weeks;49.0;usd;https://www.edx.org/course/berkleex-introduction-to-the-music-business;;;;;
introducciï¿½ï¿½n a la programaciï¿½ï¿½n en c: tipos de datos y est;13480.0;universidad autï¿½ï¿½noma de ma;introductory;computer science;es;4 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-la-programacion-en-c-tipos-de-datos;;;;;
visualizaciï¿½ï¿½n de datos y storytel;5980.0;tecnolï¿½ï¿½gico de monte;intermediate;data analysis & statistics;es;4 weeks;49.0;usd;https://www.edx.org/course/visualizacion-de-datos-y-storytelling;;;;;
negociaciï¿½ï¿½n exitosa: estrategias y habilidades esenciales (en espaï;;the university of michigan;introductory;business & management;es;7 weeks;49.0;usd;https://www.edx.org/course/negociacion-exitosa-estrategias-y-habilidades-esenciales-en-espanol;;;;;
feeding a hungry planet: agriculture; nutrition and sustainability;10488.0;sdg academy;intermediate;environmental studies;en;7 weeks;49.0;usd;https://www.edx.org/course/feeding-a-hungry-planet-agriculture-nutrition-and;;;;
macroeconomics - the basics;;doane university;introductory;economics & finance;en;8 weeks;79.0;usd;https://www.edx.org/course/macroeconomics-literacy;;;;;
fundamentals of financial mathematics and capital budgeting;5410.0;nyif;introductory;economics & finance;en;4 weeks;99.0;usd;https://www.edx.org/course/fundamental-of-financial-mathematics-and-capital-budgeting;;;;;
gestiï¿½ï¿½n participativa: motivaciï¿½ï¿½n y liderazgo organi;23441.0;universitat politï¿½ï¿½cnica de vale;intermediate;business & management;es;8 weeks;79.0;usd;https://www.edx.org/course/gestion-participativa-motivacion-y-liderazgo-organ;;;;;
herramientas de ciencia de datos: uso prï¿½ï¿½c;;ibm;introductory;data analysis & statistics;es;7 weeks;39.0;usd;https://www.edx.org/course/herramientas-de-ciencia-de-datos-uso-practico;;;;;
bienestar para el desarrollo personal y profesional;;universidades anï¿½ï¿½;intermediate;health & safety;es;5 weeks;29.0;usd;https://www.edx.org/course/para-entender-el-bienestar-y-estar-bien;;;;;
energï¿½ï¿½a elï¿½ï¿½ctrica: conceptos y principios ;9762.0;tecnolï¿½ï¿½gico de monte;intermediate;engineering;es;7 weeks;49.0;usd;https://www.edx.org/course/energia-electrica-conceptos-y-principios-basicos;;;;;
market segmentation analysis;17055.0;the university of queensland;intermediate;business & management;en;5 weeks;99.0;usd;https://www.edx.org/course/market-segmentation-analysis;;;;;
pensamento crï¿½ï¿½tico: tomada de decisï¿½ï¿½es funda;;tecnolï¿½ï¿½gico de monte;introductory;business & management;pt;4 weeks;149.0;usd;https://www.edx.org/course/pensamento-critico-tomada-de-decisoes-fundamentadas;;;;;
apï¿½ï¿½ english literature & composition ï¿½ï¿½ï¿½ par;5719.0;university of california, berkeley;introductory;humanities;en;7 weeks;49.0;usd;https://www.edx.org/course/ap-english-literature-composition-part-2-poems-2;;;;;
electrical; optical & magnetic materials and devices;16905.0;massachusetts institute of technology;intermediate;engineering;en;16 weeks;150.0;usd;https://www.edx.org/course/electrical-optical-magnetic-materials-and-devices;;;;
advanced cardiac imaging: cardiac computed tomography (ct);;university of hong kong;introductory;medicine;en;4 weeks;99.0;usd;https://www.edx.org/course/advanced-cardiac-imaging-cardiac-computed-tomograp;;;;;
how to design a successful business model;33656.0;delft university of technology;introductory;business & management;en;8 weeks;99.0;usd;https://www.edx.org/course/how-to-design-a-successful-business-model;;;;;
ecodesign for cities and suburbs;28472.0;university of british columbia;introductory;environmental studies;en;6 weeks;99.0;usd;https://www.edx.org/course/ecodesign-for-cities-and-suburbs;;;;;
agile software development;37158.0;eth zurich;introductory;computer science;en;6 weeks;50.0;usd;https://www.edx.org/course/agile-software-development;;;;;
diseï¿½ï¿½o de sistemas de informaciï¿½ï¿½n gerencial para intranet con microsof;9144.0;universidad del rosario;intermediate;computer science;es;4 weeks;49.0;usd;https://www.edx.org/course/diseno-de-sistemas-de-informacion-gerencial-para-2;;;;;
essentials of program strategy and evaluation;;stanford university;introductory;philanthropy;en;4 weeks;50.0;usd;https://www.edx.org/course/essentials-of-program-strategy-and-evaluation;;;;;
gestï¿½ï¿½oï¿½ï¿½de projetos de desenvo;28337.0;inter-american development bank;introductory;business & management;pt;10 weeks;49.0;usd;https://www.edx.org/course/gestao-de-projetos-de-desenvolvimento;;;;;
innovation: from plan to product;12918.0;the university of queensland;intermediate;business & management;en;10 weeks;249.0;usd;https://www.edx.org/course/innovation-from-plan-to-product;;;;;
introduction to database queries;;new york university;introductory;computer science;en;5 weeks;166.0;usd;https://www.edx.org/course/introduction-to-database-queries;;;;;
climate change: carbon capture and storage;10551.0;the university of edinburgh;introductory;engineering;en;5 weeks;49.0;usd;https://www.edx.org/course/climate-change-carbon-capture-and-storage;;;;;
reservoir geomechanics;5280.0;stanford university;introductory;energy & earth sciences;en;10 weeks;129.0;usd;https://www.edx.org/course/reservoir-geomechanics;;;;;
fundamentos de administraciï¿½ï¿½n estratï¿;;universidades anï¿½ï¿½;intermediate;business & management;es;5 weeks;49.0;usd;https://www.edx.org/course/fundamentos-de-administracion-estrategica;;;;;
iot system architecture: design and evaluation;5914.0;waseda university;introductory;computer science;en;3 weeks;99.0;usd;https://www.edx.org/course/iot-system-architecture-design-and-evaluation-2;;;;;
noongar language and culture;10858.0;curtin university;introductory;language;en;6 weeks;139.0;usd;https://www.edx.org/course/noongar-language-and-culture;;;;;
