course_title,url,price,num_subscribers,level,content_duration,subject,language
Crash Course on Working Capital Management,https://www.udemy.com/crash-course-on-working-capital-management/,20,3177,For all,1.0,Business Finance,en
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,https://www.udemy.com/branch-accounts-a-complete-analysis/,150,1535,For all,62.0,Business Finance,en
61% Profit In 1 Month - Crush Your Forex Trading Paradigm,https://www.udemy.com/61-profit-in-1-month-shattering-your-trading-paradigm/,20,1027,For all,1.5,Business Finance,en
How to create a routine Trading,https://www.udemy.com/how-to-create-a-trading-routine/,25,307,For all,0.1333333333333333,Business Finance,en
"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",https://www.udemy.com/forex-trading-robot-forex-trading/,150,2096,For all,0.6833333333333333,Business Finance,en
Forex SOS Course: Trading Tweaks And Working Forex Strategy,https://www.udemy.com/forex-sos-course/,50,1315,Introductory,2.5,Business Finance,en
Introduction to Financial Modeling,https://www.udemy.com/financial-modeling-asimplemodel/,0,29167,Intermediate,1.5,Business Finance,en
Quantitative Aptitude for Banking & Competitive Examinations,https://www.udemy.com/quantitative-aptitude-for-competitive-examinations-part-i/,50,1056,For all,3.0,Business Finance,en
Option Spreads and Credit Spreads Bundle,https://www.udemy.com/option-spreads-and-credit-spreads-bundle/,180,2212,Advanced,4.5,Business Finance,en
B Com Accountancy I (Paper ECO 02 IGNOU),https://www.udemy.com/accounts-from-incomplete-records/,50,2946,For all,31.5,Business Finance,en
FOREX TRADING - Learn in a quick + profitable way + support,https://www.udemy.com/forex-the-only-simple-trading-your-ever-need-bank-trading/,100,271,For all,3.5,Business Finance,en
Auditing Basics (Professional Course Level),https://www.udemy.com/basics-of-auditing/,25,3771,For all,2.5,Business Finance,en
Stock market Investing Encyclopedia: How to invest in stocks,https://www.udemy.com/stockmarket/,200,3143,Intermediate,3.0,Business Finance,en
Learn the basics of preparing accounting statements,https://www.udemy.com/basics-of-financial-accounting/,20,1951,Intermediate,0.55,Business Finance,en
Elliott Wave -Forex Trading With The Elliott Wave Theory,https://www.udemy.com/forex-trading-with-the-elliot-wave-theory/,90,4022,Advanced,1.0,Business Finance,en
Corporate Finance - A Brief Introduction,https://www.udemy.com/finance-a-brief-introduction-and-basics-finance-101/,0,11724,Introductory,1.5,Business Finance,en
Excel functions to analyze and visualize data,https://www.udemy.com/basic-excel-functions-to-analyze-large-data/,20,2283,Intermediate,2.0,Business Finance,it
Building Financial Statements in Excel,https://www.udemy.com/guide-to-building-financial-statements/,35,1181,Introductory,1.0,Business Finance,en
Transfer Pricing A Complete Analysis,https://www.udemy.com/transfer-pricing-a-complete-analysis/,50,1852,For all,2.5,Business Finance,en
Accounting: Get Hired Without Work Experience,https://www.udemy.com/accounting-get-hired-without-work-experience/,100,4661,For all,1.0,Business Finance,en
Forex Trading for Beginners - Basics,https://www.udemy.com/complete-forex-trading-for-beginners-in-1-course-basics/,50,989,For all,1.0,Business Finance,en
Basic Bookkeeping Hacks,https://www.udemy.com/basic-bookkeeping/,20,5841,For all,1.5,Business Finance,en
Complete Trading Plan Course for Stocks & Forex (10 Hours),https://www.udemy.com/killer-trading-plan-6-year-old-can-invest-10-hours-stocks-forex-etf/,200,1087,For all,9.5,Business Finance,en
"Forex Trading with Fixed 'Risk through Options Trading""",https://www.udemy.com/forexoptions/,200,611,Introductory,1.0,Business Finance,en
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",https://www.udemy.com/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/,60,1922,For all,20.0,Business Finance,en
How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,150,9015,For all,2.5,Business Finance,en
Top 10 Trading Ideas in the Equities Market,https://www.udemy.com/top-10-trading-ideas-in-the-equities-market/,20,661,For all,1.0,Business Finance,en
Intro to Financial Modeling,https://www.udemy.com/intro-to-financial-modeling/,105,1077,Introductory,6.0,Business Finance,it
Shark Accounting - Building a Business by the Numbers!,https://www.udemy.com/shark-accounting/,20,6050,Introductory,1.5,Business Finance,en
Forex Trading MAKE YOUR FIRST TRADE TODAY!,https://www.udemy.com/trade-forex/,150,3523,For all,4.0,Business Finance,en
Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,0,56659,Introductory,1.5,Business Finance,en
SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/sap-fico-for-sap-beginners/,100,1444,Introductory,5.0,Business Finance,en
Learn how to double your Forex Trading Account in one trade,https://www.udemy.com/learn-how-to-double-your-forex-trading-account-in-one-trade/,60,2900,Intermediate,2.5,Business Finance,en
"Accounting Superpowers: Learn Accounts, Understand Business!",https://www.udemy.com/accounting-basics-for-success-in-business-and-in-life/,200,1437,Introductory,2.5,Business Finance,en
